market,date,ns_target
Australia,01-09-2020,1382159.39
Australia,01-10-2020,2451000.08
Australia,01-11-2020,2459652.74
Australia,01-12-2020,2742446.53
Australia,01-01-2021,1729612.92
Australia,01-02-2021,2231597.38
Australia,01-03-2021,1459573.96
Australia,01-04-2021,1441866.81
Australia,01-05-2021,1915141.92
Australia,01-06-2021,2079358.25
Australia,01-07-2021,1879802.47
Australia,01-08-2021,1431823.83
Austria,01-09-2020,200797.2
Austria,01-10-2020,340280.79
Austria,01-11-2020,421610.57
Austria,01-12-2020,456420.18
Austria,01-01-2021,266314.68
Austria,01-02-2021,214366.25
Austria,01-03-2021,229551.54
Austria,01-04-2021,207847.65
Austria,01-05-2021,202222.46
Austria,01-06-2021,244943.52
Austria,01-07-2021,194159.25
Austria,01-08-2021,195161.04
Bangladesh,01-09-2020,421067.84
Bangladesh,01-10-2020,683408.21
Bangladesh,01-11-2020,1107584.87
Bangladesh,01-12-2020,1114512.06
Bangladesh,01-01-2021,500588.35
Bangladesh,01-02-2021,644146.24
Bangladesh,01-03-2021,495497.36
Bangladesh,01-04-2021,602516.17
Bangladesh,01-05-2021,435982.28
Bangladesh,01-06-2021,608276.52
Bangladesh,01-07-2021,504386.1
Bangladesh,01-08-2021,549408.44
Canada,01-09-2020,2659807.42
Canada,01-10-2020,3002752.33
Canada,01-11-2020,5257786.55
Canada,01-12-2020,6375902.08
Canada,01-01-2021,2652772.68
Canada,01-02-2021,2590846.91
Canada,01-03-2021,2861555
Canada,01-04-2021,3093219.94
Canada,01-05-2021,3190133.51
Canada,01-06-2021,2766401.45
Canada,01-07-2021,3125787.29
Canada,01-08-2021,2549314.4
China,01-09-2020,1780362.91
China,01-10-2020,997458.22
China,01-11-2020,3810257.08
China,01-12-2020,4097205.11
China,01-01-2021,2037366.36
China,01-02-2021,782553.41
China,01-03-2021,2045403.52
China,01-04-2021,2503029.24
China,01-05-2021,1796673.23
China,01-06-2021,784149.38
China,01-07-2021,2173539.33
China,01-08-2021,2144435.64
France,01-09-2020,1915146.77
France,01-10-2020,2561026.04
France,01-11-2020,4013936.29
France,01-12-2020,3175817.35
France,01-01-2021,2091425.1
France,01-02-2021,2290674.96
France,01-03-2021,2235735.94
France,01-04-2021,1905561.05
France,01-05-2021,2029217.3
France,01-06-2021,1885444.68
France,01-07-2021,2028684.35
France,01-08-2021,2001139.25
Germany,01-09-2020,1075224.97
Germany,01-10-2020,1195013.4
Germany,01-11-2020,1709197.7
Germany,01-12-2020,1705759.6
Germany,01-01-2021,1346580.34
Germany,01-02-2021,971112.05
Germany,01-03-2021,918581.48
Germany,01-04-2021,739105.01
Germany,01-05-2021,1095657.49
Germany,01-06-2021,1046564.96
Germany,01-07-2021,803497.02
Germany,01-08-2021,927346.02
India,01-09-2020,11247070.02
India,01-10-2020,17328454.48
India,01-11-2020,20078270.24
India,01-12-2020,23013264.11
India,01-01-2021,12519623.82
India,01-02-2021,11289263.92
India,01-03-2021,12666140.21
India,01-04-2021,13089610.53
India,01-05-2021,11631482.19
India,01-06-2021,12608429.06
India,01-07-2021,13322289.85
India,01-08-2021,12020210.57
Indonesia,01-09-2020,1524115.15
Indonesia,01-10-2020,2009621.87
Indonesia,01-11-2020,2469948.8
Indonesia,01-12-2020,2881409.95
Indonesia,01-01-2021,1661916.11
Indonesia,01-02-2021,1525710.77
Indonesia,01-03-2021,1306451.4
Indonesia,01-04-2021,1436261.03
Indonesia,01-05-2021,1567112.92
Indonesia,01-06-2021,1378474.21
Indonesia,01-07-2021,1374020.43
Indonesia,01-08-2021,1661373.65
Italy,01-09-2020,1147652.52
Italy,01-10-2020,1123744.42
Italy,01-11-2020,1693331.23
Italy,01-12-2020,1605067.66
Italy,01-01-2021,958621.64
Italy,01-02-2021,907316.07
Italy,01-03-2021,1058317.19
Italy,01-04-2021,692665.54
Italy,01-05-2021,942630.85
Italy,01-06-2021,835933.07
Italy,01-07-2021,1033371.15
Italy,01-08-2021,768702.44
Japan,01-09-2020,715752.76
Japan,01-10-2020,722257.34
Japan,01-11-2020,1005447.89
Japan,01-12-2020,1077076.2
Japan,01-01-2021,671610.08
Japan,01-02-2021,590203.95
Japan,01-03-2021,501434.68
Japan,01-04-2021,530307.52
Japan,01-05-2021,647880.92
Japan,01-06-2021,542891.58
Japan,01-07-2021,537450.29
Japan,01-08-2021,706669.66
Netherlands,01-09-2020,546839.66
Netherlands,01-10-2020,748833.21
Netherlands,01-11-2020,999424.22
Netherlands,01-12-2020,1238264.22
Netherlands,01-01-2021,505968.7
Netherlands,01-02-2021,579766.72
Netherlands,01-03-2021,624259.73
Netherlands,01-04-2021,617601.7
Netherlands,01-05-2021,708006.7
Netherlands,01-06-2021,546699.79
Netherlands,01-07-2021,734205.94
Netherlands,01-08-2021,790302.2
Newzealand,01-09-2020,985967.39
Newzealand,01-10-2020,1615191.2
Newzealand,01-11-2020,1724915.89
Newzealand,01-12-2020,1533127.79
Newzealand,01-01-2021,948684.47
Newzealand,01-02-2021,979745.82
Newzealand,01-03-2021,790903.89
Newzealand,01-04-2021,700572.63
Newzealand,01-05-2021,855237.51
Newzealand,01-06-2021,919672.5
Newzealand,01-07-2021,919908.43
Newzealand,01-08-2021,830540.81
Norway,01-09-2020,864893.19
Norway,01-10-2020,1530841.53
Norway,01-11-2020,1792902.41
Norway,01-12-2020,1754433.97
Norway,01-01-2021,1102939.78
Norway,01-02-2021,1216850.79
Norway,01-03-2021,1239161.6
Norway,01-04-2021,1080844.21
Norway,01-05-2021,873715.38
Norway,01-06-2021,1230376.63
Norway,01-07-2021,1493246.34
Norway,01-08-2021,932943.68
Pakistan,01-09-2020,555097.78
Pakistan,01-10-2020,536481.15
Pakistan,01-11-2020,878150.24
Pakistan,01-12-2020,867426.75
Pakistan,01-01-2021,390275.51
Pakistan,01-02-2021,321587.26
Pakistan,01-03-2021,408013.2
Pakistan,01-04-2021,388050.37
Pakistan,01-05-2021,405344.92
Pakistan,01-06-2021,335707.25
Pakistan,01-07-2021,555076.5
Pakistan,01-08-2021,539648.42
Philiphines,01-09-2020,2995659.13
Philiphines,01-10-2020,2839822.82
Philiphines,01-11-2020,3827532.6
Philiphines,01-12-2020,4397975.73
Philiphines,01-01-2021,3148739.52
Philiphines,01-02-2021,2633715.63
Philiphines,01-03-2021,1649399.94
Philiphines,01-04-2021,2874549.93
Philiphines,01-05-2021,3133027.86
Philiphines,01-06-2021,2185539.83
Philiphines,01-07-2021,1841718.86
Philiphines,01-08-2021,2826690.36
Poland,01-09-2020,557373.15
Poland,01-10-2020,597075.69
Poland,01-11-2020,713825.08
Poland,01-12-2020,829733.69
Poland,01-01-2021,470645.34
Poland,01-02-2021,424879.49
Poland,01-03-2021,358087.13
Poland,01-04-2021,428254.96
Poland,01-05-2021,505628.47
Poland,01-06-2021,422544.07
Poland,01-07-2021,471222.93
Poland,01-08-2021,350920.69
Portugal,01-09-2020,1050726.38
Portugal,01-10-2020,972722.31
Portugal,01-11-2020,1909553.39
Portugal,01-12-2020,1368487.25
Portugal,01-01-2021,858898.86
Portugal,01-02-2021,730646.84
Portugal,01-03-2021,993790
Portugal,01-04-2021,892881.08
Portugal,01-05-2021,1125062.28
Portugal,01-06-2021,784587.88
Portugal,01-07-2021,833754.48
Portugal,01-08-2021,816190.77
South Korea,01-09-2020,3949776.05
South Korea,01-10-2020,3315567.73
South Korea,01-11-2020,6799611.02
South Korea,01-12-2020,8469795.4
South Korea,01-01-2021,3379118.98
South Korea,01-02-2021,3081627.43
South Korea,01-03-2021,3859572.58
South Korea,01-04-2021,4666981.6
South Korea,01-05-2021,3762675.32
South Korea,01-06-2021,2403694.78
South Korea,01-07-2021,4838713.61
South Korea,01-08-2021,4799518.5
Spain,01-09-2020,1090513.45
Spain,01-10-2020,1523460.78
Spain,01-11-2020,1733917.02
Spain,01-12-2020,1835865.66
Spain,01-01-2021,919055.1
Spain,01-02-2021,1234595.4
Spain,01-03-2021,941770.7
Spain,01-04-2021,934432.05
Spain,01-05-2021,1153944.2
Spain,01-06-2021,1200586.3
Spain,01-07-2021,846146.46
Spain,01-08-2021,989880.78
Sweden,01-09-2020,101834.57
Sweden,01-10-2020,223872.25
Sweden,01-11-2020,270638.39
Sweden,01-12-2020,259181.46
Sweden,01-01-2021,99281.82
Sweden,01-02-2021,134578.91
Sweden,01-03-2021,165758.35
Sweden,01-04-2021,163820.08
Sweden,01-05-2021,133049.1
Sweden,01-06-2021,124328.48
Sweden,01-07-2021,158764.52
Sweden,01-08-2021,129150.11
United Kingdom,01-09-2020,2437003.82
United Kingdom,01-10-2020,3236861.62
United Kingdom,01-11-2020,5107441.6
United Kingdom,01-12-2020,5065575.96
United Kingdom,01-01-2021,2737875.91
United Kingdom,01-02-2021,2625635.14
United Kingdom,01-03-2021,2985011.14
United Kingdom,01-04-2021,2540516.26
United Kingdom,01-05-2021,2451400.85
United Kingdom,01-06-2021,2463554.36
United Kingdom,01-07-2021,2297451.68
United Kingdom,01-08-2021,3183404.44
USA,01-09-2020,7274757.71
USA,01-10-2020,9766528.47
USA,01-11-2020,10346893.72
USA,01-12-2020,9939351.36
USA,01-01-2021,7319956.7
USA,01-02-2021,7354802.75
USA,01-03-2021,7218790.79
USA,01-04-2021,7463149.94
USA,01-05-2021,8638751.47
USA,01-06-2021,7841366.76
USA,01-07-2021,8150868.49
USA,01-08-2021,6700915.03
